,Country,Gender Development Index (GDI),Human Development Index (Female),Human Development Index (Male),Life Expectancy at Birth (Female),Life Expectancy at Birth (Male),Expected Years of Education (Female),Expected Years of Education (Male),Mean Years of Education (Female),Mean Years of Education (Male),Estimated Gross National Income per Capita (Female),Estimated Gross National Income per Capita (Male),Continent,Gender development
0,Norway,0.996,0.94,0.9440000000000001,83.6,79.5,18.2,16.8,12.7,12.5,57140.0,72825.0,Europe,high
1,Australia,0.976,0.922,0.945,84.5,80.3,20.7,19.7,13.1,12.9,33688.0,50914.0,Australia and Oceania,high
2,Switzerland,0.95,0.898,0.945,85.0,80.8,15.7,15.9,11.5,13.1,44132.0,69077.0,Europe,average
3,Denmark,0.977,0.912,0.934,82.2,78.3,19.3,18.1,12.8,12.7,36439.0,51727.0,Europe,high
4,Netherlands,0.9470000000000001,0.893,0.943,83.3,79.7,18.0,17.9,11.6,12.2,29500.0,61641.0,Europe,average
5,Germany,0.963,0.9009999999999999,0.9359999999999999,83.3,78.5,16.3,16.6,12.9,13.8,34886.0,53290.0,Europe,average
6,Ireland,0.973,0.9009999999999999,0.9259999999999999,83.0,78.8,18.5,18.7,12.3,12.0,30104.0,49166.0,Europe,high
7,United States,0.995,0.9109999999999999,0.9159999999999999,81.4,76.7,17.2,15.7,13.0,12.9,43054.0,63158.0,North America,high
8,Canada,0.982,0.904,0.9209999999999999,84.0,80.0,16.3,15.5,13.1,13.0,33587.0,50853.0,North America,high
9,New Zealand,0.961,0.894,0.93,83.6,80.0,20.0,18.3,12.5,12.6,24309.0,41372.0,Australia and Oceania,average
10,Singapore,0.985,0.898,0.912,86.0,79.9,15.5,15.3,10.1,10.9,59994.0,93699.0,Asia,high
11,"Hong Kong, China (SAR)",0.958,0.892,0.9309999999999999,86.8,81.2,15.7,15.5,10.9,11.9,38060.0,72052.0,Asia,average
13,Sweden,0.9990000000000001,0.9059999999999999,0.9059999999999999,83.9,80.4,16.6,15.1,12.2,12.0,40222.0,51084.0,Europe,high
14,United Kingdom,0.965,0.888,0.92,82.6,78.7,16.6,15.8,12.9,13.2,27259.0,51628.0,Europe,average
15,Iceland,0.975,0.8859999999999999,0.909,84.0,81.0,20.1,17.9,10.8,10.4,28792.0,41486.0,Europe,high
16,Korea (Republic of),0.93,0.861,0.9259999999999999,85.0,78.5,16.0,17.7,11.2,12.7,21896.0,46018.0,Asia,average
17,Israel,0.971,0.879,0.905,84.1,80.5,16.5,15.5,12.5,12.6,22451.0,39064.0,Asia,high
18,Luxembourg,0.971,0.877,0.903,83.9,79.3,14.0,13.7,11.3,12.1,47723.0,69800.0,Europe,high
19,Japan,0.961,0.87,0.905,86.7,80.2,15.2,15.5,11.3,11.7,24975.0,49541.0,Asia,average
20,Belgium,0.975,0.872,0.895,83.2,78.3,16.7,16.0,10.6,11.1,31879.0,50845.0,Europe,high
21,France,0.987,0.8809999999999999,0.893,85.1,79.2,16.4,15.6,11.0,11.3,31073.0,45497.0,Europe,high
22,Austria,0.943,0.856,0.909,83.8,78.8,16.1,15.4,9.9,11.9,29598.0,58826.0,Europe,average
23,Finland,0.996,0.879,0.882,83.6,78.0,17.7,16.5,10.2,10.2,31644.0,45994.0,Europe,high
24,Slovenia,0.996,0.877,0.8809999999999999,83.4,77.3,17.7,16.0,11.8,12.0,22180.0,33593.0,Europe,high
25,Spain,0.975,0.863,0.885,85.3,79.8,17.7,17.0,9.4,9.8,24059.0,40221.0,Europe,high
26,Italy,0.9640000000000001,0.851,0.883,85.5,80.6,16.5,15.6,9.5,10.2,22526.0,44148.0,Europe,average
27,Czech Republic,0.98,0.8590000000000001,0.877,81.5,75.7,16.9,15.8,12.1,12.5,19929.0,33604.0,Europe,high
28,Greece,0.961,0.8440000000000001,0.879,83.8,78.0,17.7,17.6,9.8,10.5,17288.0,31952.0,Europe,average
29,Estonia,1.03,0.872,0.847,81.3,72.0,17.4,15.6,12.7,12.2,20854.0,30254.0,Europe,high
30,Brunei Darussalam,0.977,0.84,0.86,80.7,77.0,14.9,14.2,8.5,9.0,54228.0,90437.0,Asia,high
31,Cyprus,0.971,0.836,0.861,82.4,78.0,14.2,13.8,11.4,11.8,22613.0,34400.0,Europe,high
32,Qatar,0.998,0.853,0.8540000000000001,79.9,77.3,14.0,13.9,10.4,8.8,55123.0,143979.0,Asia,high
34,Slovakia,0.9990000000000001,0.841,0.8420000000000001,79.9,72.5,15.7,14.5,12.3,12.2,19903.0,32122.0,Europe,high
35,Poland,1.0070000000000001,0.8440000000000001,0.8390000000000001,81.4,73.4,16.3,14.7,11.7,11.9,18423.0,28271.0,Europe,high
36,Lithuania,1.03,0.851,0.8270000000000001,78.9,67.7,16.9,15.9,12.3,12.5,20955.0,28656.0,Europe,high
37,Malta,0.937,0.8059999999999999,0.861,82.2,78.8,14.8,14.0,9.9,10.8,16435.0,39432.0,Europe,average
38,Saudi Arabia,0.9009999999999999,0.778,0.8640000000000001,75.7,73.0,16.6,16.1,7.8,9.3,20094.0,77044.0,Asia,average
39,Argentina,0.982,0.8190000000000001,0.8340000000000001,80.1,72.4,19.1,16.8,9.8,9.8,14202.0,30237.0,South America,high
40,United Arab Emirates,0.9540000000000001,0.7959999999999999,0.835,78.5,76.3,13.9,12.9,9.9,8.5,22391.0,77300.0,Asia,average
41,Chile,0.9670000000000001,0.815,0.843,84.5,78.6,15.5,15.0,9.7,9.9,14732.0,27992.0,South America,average
42,Portugal,0.985,0.823,0.836,83.8,77.9,16.5,16.1,8.1,8.4,21259.0,30543.0,Europe,high
43,Hungary,0.976,0.818,0.838,78.7,71.5,15.7,15.1,11.3,12.2,17443.0,28960.0,Europe,high
44,Bahrain,0.94,0.789,0.8390000000000001,77.6,75.8,15.1,13.7,9.1,9.6,20038.0,49890.0,Asia,average
45,Latvia,1.0290000000000001,0.8290000000000001,0.805,78.9,69.1,15.9,14.6,11.7,11.2,18437.0,26845.0,Europe,high
46,Croatia,0.987,0.812,0.823,80.6,74.0,15.4,14.2,10.5,11.6,16200.0,22853.0,Europe,high
47,Kuwait,0.972,0.7929999999999999,0.816,75.8,73.5,15.2,14.2,7.3,7.1,42292.0,111988.0,Asia,high
48,Montenegro,0.9540000000000001,0.782,0.8190000000000001,78.4,74.1,15.5,14.8,10.5,11.8,11106.0,18094.0,Europe,average
